,full_label,hemi,Yeo_17_nets,labels,index,Yeo_7_nets
0,17Networks_LH_VisCent_ExStr_1,lh,VisCent,ExStr_1,0.0,Visual
1,17Networks_LH_VisCent_ExStr_2,lh,VisCent,ExStr_2,1.0,Visual
2,17Networks_LH_VisCent_ExStr_3,lh,VisCent,ExStr_3,2.0,Visual
3,17Networks_LH_VisCent_ExStr_4,lh,VisCent,ExStr_4,3.0,Visual
4,17Networks_LH_VisCent_ExStr_5,lh,VisCent,ExStr_5,4.0,Visual
5,17Networks_LH_VisCent_ExStr_6,lh,VisCent,ExStr_6,5.0,Visual
6,17Networks_LH_VisPeri_ExStrSup_1,lh,VisPeri,ExStrSup_1,6.0,Visual
7,17Networks_LH_VisPeri_ExStrSup_2,lh,VisPeri,ExStrSup_2,7.0,Visual
8,17Networks_LH_VisPeri_ExStrSup_3,lh,VisPeri,ExStrSup_3,8.0,Visual
9,17Networks_LH_VisPeri_ExStrSup_4,lh,VisPeri,ExStrSup_4,9.0,Visual
10,17Networks_LH_VisPeri_ExStrSup_5,lh,VisPeri,ExStrSup_5,10.0,Visual
11,17Networks_LH_VisPeri_ExStrSup_6,lh,VisPeri,ExStrSup_6,11.0,Visual
12,17Networks_LH_SomMotA_1,lh,SomMotA,SomMotA_1,12.0,Motor
13,17Networks_LH_SomMotA_2,lh,SomMotA,SomMotA_2,13.0,Motor
14,17Networks_LH_SomMotA_3,lh,SomMotA,SomMotA_3,14.0,Motor
15,17Networks_LH_SomMotA_4,lh,SomMotA,SomMotA_4,15.0,Motor
16,17Networks_LH_SomMotA_5,lh,SomMotA,SomMotA_5,16.0,Motor
17,17Networks_LH_SomMotA_6,lh,SomMotA,SomMotA_6,17.0,Motor
18,17Networks_LH_SomMotA_7,lh,SomMotA,SomMotA_7,18.0,Motor
19,17Networks_LH_SomMotA_8,lh,SomMotA,SomMotA_8,19.0,Motor
20,17Networks_LH_SomMotB_Aud_1,lh,SomMotB,Aud_1,20.0,Motor
21,17Networks_LH_SomMotB_Aud_2,lh,SomMotB,Aud_2,21.0,Motor
22,17Networks_LH_SomMotB_Aud_3,lh,SomMotB,Aud_3,22.0,Motor
23,17Networks_LH_SomMotB_Aud_4,lh,SomMotB,Aud_4,23.0,Motor
24,17Networks_LH_SomMotB_Aud_5,lh,SomMotB,Aud_5,24.0,Motor
25,17Networks_LH_SomMotB_Aud_6,lh,SomMotB,Aud_6,25.0,Motor
26,17Networks_LH_SomMotB_Aud_7,lh,SomMotB,Aud_7,26.0,Motor
27,17Networks_LH_SomMotB_Aud_8,lh,SomMotB,Aud_8,27.0,Motor
28,17Networks_LH_DorsAttnA_TempOcc_1,lh,DorsAttnA,TempOcc_1,28.0,"Dorsal
attention"
29,17Networks_LH_DorsAttnA_TempOcc_2,lh,DorsAttnA,TempOcc_2,29.0,"Dorsal
attention"
30,17Networks_LH_DorsAttnA_TempOcc_3,lh,DorsAttnA,TempOcc_3,30.0,"Dorsal
attention"
31,17Networks_LH_DorsAttnA_SPL_1,lh,DorsAttnA,SPL_1,31.0,"Dorsal
attention"
32,17Networks_LH_DorsAttnA_SPL_2,lh,DorsAttnA,SPL_2,32.0,"Dorsal
attention"
33,17Networks_LH_DorsAttnA_SPL_3,lh,DorsAttnA,SPL_3,33.0,"Dorsal
attention"
34,17Networks_LH_DorsAttnB_PostC_1,lh,DorsAttnB,PostC_1,34.0,"Dorsal
attention"
35,17Networks_LH_DorsAttnB_PostC_2,lh,DorsAttnB,PostC_2,35.0,"Dorsal
attention"
36,17Networks_LH_DorsAttnB_PostC_3,lh,DorsAttnB,PostC_3,36.0,"Dorsal
attention"
37,17Networks_LH_DorsAttnB_PostC_4,lh,DorsAttnB,PostC_4,37.0,"Dorsal
attention"
38,17Networks_LH_DorsAttnB_FEF_1,lh,DorsAttnB,FEF_1,38.0,"Dorsal
attention"
39,17Networks_LH_SalVentAttnA_ParOper_1,lh,SalVentAttnA,ParOper_1,39.0,"Ventral
attention"
40,17Networks_LH_SalVentAttnA_Ins_1,lh,SalVentAttnA,Ins_1,40.0,"Ventral
attention"
41,17Networks_LH_SalVentAttnA_Ins_2,lh,SalVentAttnA,Ins_2,41.0,"Ventral
attention"
42,17Networks_LH_SalVentAttnA_Ins_3,lh,SalVentAttnA,Ins_3,42.0,"Ventral
attention"
43,17Networks_LH_SalVentAttnA_ParMed_1,lh,SalVentAttnA,ParMed_1,43.0,"Ventral
attention"
44,17Networks_LH_SalVentAttnA_FrMed_1,lh,SalVentAttnA,FrMed_1,44.0,"Ventral
attention"
45,17Networks_LH_SalVentAttnA_FrMed_2,lh,SalVentAttnA,FrMed_2,45.0,"Ventral
attention"
46,17Networks_LH_SalVentAttnB_IPL_1,lh,SalVentAttnB,IPL_1,46.0,"Ventral
attention"
